Record Order,Experiment Code,Record ID,Application or Treatment,Product/Nutrient Applied,Date of Application,Quantity per acre,"Application unit
(lbs, in, oz per acre)"
56,GAH1,15,fertilize,28-0-0-0.5,"Friday, May 13, 2016",4224,oz/Acre
57,GAH1,16,fertilize,Boron 10%,"Friday, May 13, 2016",32,oz/Acre
58,GAH1,17,post-plant herbicide,Prowl,"Friday, May 13, 2016",32,oz/Acre
59,GAH1,18,post-plant herbicide,Atrazine,"Friday, May 13, 2016",32,oz/Acre
60,GAH1,19,post-plant herbicide,Basagran,"Friday, May 13, 2016",24,oz/Acre
61,GAH1,20,fertilize,28-0-0-0.5,"Thursday, May 19, 2016",4224,oz/Acre
62,GAH1,21,fertilize,Boron 10%,"Thursday, May 19, 2016",32,oz/Acre
63,GAH2,1,post-plant herbicide,Accent Q (DuPont),"Thursday, June 23, 2016",0.9,oz/Acre
64,ILH1,1,pre-plant herbicide,Harness Extra 5.6l,"Tuesday, April 19, 2016",80,oz/Acre
65,ILH1,2,fertilize,UAN 28%,"Tuesday, April 19, 2016",60 gallons/acre,
69,INH1,1,fertilize,potash,"Friday, October 21, 2016",300,lbs/Acre
70,INH1,2,fertilize,NH3 with N-serve,"Tuesday, April 19, 2016",180,lbs/Acre
71,INH1,3,pre-plant herbicide,Bicep,"Friday, May 20, 2016",2.5,
72,INH1,4,pre-plant herbicide,Simizine,"Friday, May 20, 2016",0.5,lbs/Acre
73,KSH1,1,fertilize,Nitrogen base (UAN),"Friday, May 20, 2016",150,lbs/Acre
74,KSH1,2,pre-plant herbicide,Brawl,"Tuesday, April 12, 2016",26.5,oz/Acre
75,KSH1,3,pre-plant herbicide,Calisto,"Tuesday, April 12, 2016",4,oz/Acre
76,KSH1,4,pre-plant herbicide,Buccaneer Plus,"Tuesday, April 12, 2016",32,oz/Acre
99,MIH1,1,fertilize,Starter ferilizer 16-16-16 2x2,"Tuesday, May 24, 2016",20-9-3,lbs/Acre
100,MIH1,2,post-plant herbicide,Harness,"Thursday, May 26, 2016",35.2,oz/Acre
101,MIH1,3,post-plant herbicide,Attrex,"Thursday, May 26, 2016",32,oz/Acre
102,MIH1,4,fertilize,Side dress applicaton 28%,"Sunday, June 12, 2016",134-0-0,lbs/Acre
103,MIH1,5,post-plant herbicide,Impact,"Tuesday, July 5, 2016",0.75,oz/Acre
104,MIH1,6,post-plant herbicide,Dual,"Tuesday, July 5, 2016",21.28,oz/Acre
105,MIH1,7,post-plant herbicide,MSO @1%,"Tuesday, July 5, 2016",1.00%,
106,MIH1,8,post-plant herbicide,AMS@.5%,"Tuesday, July 5, 2016",0.50%,
107,MOH1,1,fertilize,Super Urea,"Friday, April 29, 2016",120,lbs/Acre
108,MOH1,2,post-plant herbicide,Atrazine 4L,"Monday, May 23, 2016",48,oz/Acre
109,MOH1,3,post-plant herbicide,Calisto,"Monday, May 23, 2016",3,oz/Acre
110,MOH1,4,post-plant herbicide,Dual II Magnum,"Monday, May 23, 2016",24,oz/Acre
111,MOH1,5,post-plant herbicide,Roundup PowerMax,"Monday, May 23, 2016",32,oz/Acre
112,MOH1,6,irrigation,RECORDED BY WEATHER STATION!,"Wednesday, June 15, 2016",,
113,NCH1,1,fertilize,Lime,"Monday, March 21, 2016",1/2 ton/A,
114,NCH1,2,fertilize,16-0-24,"Wednesday, March 30, 2016",375 lbs./A,lbs/Acre
115,NCH1,3,insecticide,Counter 20G,"Wednesday, April 6, 2016",6.5 lbs./A,lbs/Acre
116,NCH1,4,post-plant herbicide,Atrazine 4L,"Monday, April 18, 2016",1.5 qt./A,
117,NCH1,5,post-plant herbicide,Dual Magnum,"Monday, April 18, 2016",4.5 pt./A,
118,NCH1,6,fertilize,24S,"Monday, April 18, 2016",50 GPA,
119,NCH1,7,post-plant herbicide,Evik DF,"Thursday, June 2, 2016",2 lbs./A,lbs/Acre
120,NCH1,8,irrigation,water,"Thursday, June 23, 2016",.75 inch,
121,NCH1,9,irrigation,water,"Wednesday, June 29, 2016",.75 inch,
122,NYH2,1,broadcast fertilizer,potash 0-0-60,"Monday, May 9, 2016",100,lbs/Acre
123,NYH2,2,broadcast fertilizer,15-34-0,"Monday, May 9, 2016",334,lbs/Acre
124,NYH2,3,Herbicide pre-emergence application,Bicep Lite II magnum,"Friday, May 13, 2016",1.5,quarts/acre
125,NYH2,4,Herbicide pre-emergence application,Callisto,"Friday, May 13, 2016",5,oz/Acre
126,NYH2,5,sidedress Nitrogen application,30% UAN,"Friday, June 17, 2016",37,gallons/acre
127,OHH1,1,fertilize,Liquid Starter 2x2 planter,"Friday, May 27, 2016","NPK 27,26,0
",lbs/Acre
128,OHH1,2,fertilize,"0-0-60, preplant incorporated",,91 lb,lbs/Acre
129,OHH1,3,fertilize,"28% Nitrogen, Sidedress coulter injected",,180 N,lbs/Acre
130,OHH1,4,post-plant herbicide,Lexar,"Wednesday, June 1, 2016",96,oz/Acre
131,OHH1,5,post-plant herbicide,Buctril,"Wednesday, June 1, 2016",16,oz/Acre
132,OHH1,6,post-plant herbicide,Impact,"Friday, June 10, 2016",0.75,oz/Acre
133,OHH1,7,post-plant herbicide,Accent,"Friday, June 10, 2016",0.5,oz/Acre
134,ONH1,1,fertilize,46% Urea,"Tuesday, April 26, 2016",100 Actual N,lbs/Acre
135,ONH1,2,fertilize,5/20/2020,"Wednesday, May 4, 2016","7.5 N, 30 P, 30 K",lbs/Acre
136,ONH1,3,fertilize,Pot Ash,"Tuesday, April 26, 2016",90 Actual K,lbs/Acre
137,ONH1,4,fertilize,Phosphorous,"Tuesday, April 26, 2016",30 Actual P,lbs/Acre
138,ONH1,5,fertilize,28% Liquid Nitrogen,"Wednesday, June 15, 2016",60 Actual N,lbs/Acre
139,ONH1,6,pre-plant herbicide,Primextra,"Tuesday, April 26, 2016",47.3,oz/Acre
140,ONH1,7,post-plant herbicide,Callisto,"Wednesday, May 25, 2016",4.1,oz/Acre
141,ONH2,1,post-plant herbicide,Primextra,"Tuesday, May 17, 2016",47.34,oz/Acre
142,ONH2,2,post-plant herbicide,Callisto,"Tuesday, May 17, 2016",4.06,oz/Acre
143,ONH2,3,fertilize,28%,"Thursday, June 9, 2016",150,lbs/Acre
144,SCH1,1,fertilize,9/24/2027,"Thursday, May 5, 2016",350,lbs/Acre
145,SCH1,2,fertilize,0-0-32,"Friday, June 24, 2016",75,lbs/Acre
146,SCH1,3,insecticide,Sevin XLR,"Friday, June 24, 2016",64,oz/Acre
147,SCH1,4,pre-plant herbicide,pre-emergence -Bicep II Magnum,"Monday, May 9, 2016",64,oz/Acre
148,SCH1,5,post-plant herbicide,post emergence- Aatrex,"Friday, June 24, 2016",32,oz/Acre
149,SCH1,6,post-plant herbicide,post emergece- Banvel,"Friday, June 24, 2016",8,oz/Acre
150,SCH1,7,post-plant herbicide,24D,"Friday, June 24, 2016",16,oz/Acre
151,TXH1,1,fertilize,11-37-0,"Tuesday, February 16, 2016",150+5 Zn,lbs/Acre
152,TXH1,2,pre-plant herbicide,Daul ,"Friday, March 4, 2016",26.56,oz/Acre
153,TXH1,3,pre-plant herbicide,Atrazine ,"Friday, March 4, 2016",1.5,lbs/Acre
154,TXH1,4,post-plant herbicide,Atrazine ,"Tuesday, April 12, 2016",1,lbs/Acre
155,TXH1,5,post-plant herbicide,Prowl H20 ,"Tuesday, April 12, 2016",48,oz/Acre
156,TXH1,6,fertilize,32-0-0,"Tuesday, April 26, 2016",642.64,lbs/Acre
157,WIH1,1,fertilize,Granular Urea,"Wednesday, May 4, 2016",200,lbs/Acre
158,WIH1,2,insecticide,Force 3G,"Monday, May 9, 2016",6,lbs/Acre
159,WIH1,3,post-plant herbicide,Simazine 4L,"Monday, May 16, 2016",16,oz/Acre
160,WIH1,4,post-plant herbicide,Callisto,"Monday, May 16, 2016",5,oz/Acre
161,WIH1,5,post-plant herbicide,Dual II - Magnum,"Monday, May 16, 2016",24,oz/Acre
162,WIH2,1,fertilize,Urea,"Friday, May 20, 2016",200,lbs/Acre
163,WIH2,2,insecticide,Force 3G,"Tuesday, May 24, 2016",6,lbs/Acre
164,WIH2,3,post-plant herbicide,Simazine 4L,"Wednesday, June 1, 2016",16,oz/Acre
165,WIH2,4,post-plant herbicide,Callisto,"Wednesday, June 1, 2016",5,oz/Acre
166,WIH2,5,post-plant herbicide,Dual II - Magnum,"Wednesday, June 1, 2016",24,oz/Acre
