Location,Application or Treatment,Applications_ID,Dates,Amount (inches),Nutrients Applied
AZI2,irrigation,Application #24,8/17/15,0.55,
AZI2,irrigation,Application #25,8/20/15,0.55,
AZI2,irrigation,Application #26,8/31/15,0.22,
AZI2,fertigation,Application #1,6/13/15,0.48,29
AZI2,fertigation,Application #2,6/19/15,0.24,29
AZI2,fertigation,Application #3,6/22/15,0.52,29
AZI2,fertigation,Application #4,6/28/15,0.4,29
PAI1,irrigation,Application #1,8/27/15,0.36,
PAI1,irrigation,Application #2,9/2/15,0.24,
PAI1,irrigation,Application #3,9/4/15,0.36,
PAI2,irrigation,Application #1,8/27/15,0.36,
PAI2,irrigation,Application #2,9/2/15,0.24,
PAI2,irrigation,Application #3,9/4/15,0.36,
DEH1,irrigation,Application #1,5/15/15,0.5,
DEH1,irrigation,Application #2,5/28/15,0.3,
DEH1,irrigation,Application #3,6/16/15,0.8,
DEH1,irrigation,Application #4,7/1/15,0.3,
DEH1,irrigation,Application #5,7/7/15,0.3,
DEH1,irrigation,Application #6,7/13/15,0.5,
DEH1,irrigation,Application #7,7/16/15,0.5,
DEH1,irrigation,Application #8,7/20/15,0.5,
DEH1,irrigation,Application #9,7/23/15,0.5,
DEH1,irrigation,Application #10,7/31/15,0.3,
DEH1,irrigation,Application #11,8/3/15,0.3,
DEH1,irrigation,Application #12,8/18/15,0.5,
DEH1,irrigation,Application #13,8/20/15,0.3,
DEH1,irrigation,Application #14,8/24/15,0.3,
DEI1,irrigation,Application #1,7/23/15,0.59,
DEI1,irrigation,Application #2,8/3/15,0.71,
DEI1,irrigation,Application #3,8/5/15,0.71,
DEI1,irrigation,Application #4,8/7/15,0.71,
DEI1,irrigation,Application #5,8/16/15,0.71,
DEI1,irrigation,Application #6,8/17/15,0.71,
DEI1,irrigation,Application #7,8/25/15,0.71,
DEI1,irrigation,Application #8,8/27/15,0.71,
DEI1,irrigation,Application #9,8/31/15,0.71,
DEI1,irrigation,Application #10,9/1/15,0.71,
DEI1,irrigation,Application #11,9/4/15,0.71,
DEI1,irrigation,Application #12,9/18/15,0.44,
DEI1,irrigation,Application #13,9/22/15,0.59,
DEI1,irrigation,Application #14,9/25/15,0.59,
GAH1,irrigation,Application #1,4/6/15,1,
GAH1,irrigation,Application #2,5/8/15,1,
GAH1,irrigation,Application #3,5/19/15,1,
GAH1,irrigation,Application #4,6/2/15,1,
GAH1,irrigation,Application #5,6/17/15,1,
GAI1,irrigation,Application #1,5/20/15,1,
GAI1,irrigation,Application #2,6/16/15,1,
NCI1,irrigation,Application #1,1/6/15,1,
NCI1,irrigation,Application #2,7/1/15,1,
NCI1,irrigation,Application #3,7/20/15,1,
NYI2,irrigation,Application #1,8/27/15,1,
NYI2,irrigation,Application #2,9/3/15,1,
