Location,Application_or_treatment,Product_or_nutrient_applied,Date_of_application,Quantity_per_acre,Application_unit
MNH1,fertilize,N as Anhydrous ammonia,5/10/21,140,lb
MNH1,post-plant herbicide,Acuron,5/18/21,96,oz
MNH1,post-plant herbicide,Laudis,6/22/21,3,oz
MNH1,post-plant herbicide,Zidau,6/22/21,2,oz
NCH1,fertilize,Potash 0-0-60,3/3/21,50,lb
NCH1,post-plant herbicide,Dual II,4/8/21,16.65,oz
NCH1,insecticide,Counter,4/20/21,6.5,lb
NCH1,fertilize,18-46-0,4/22/21,150,lb
NCH1,post-plant herbicide,Atrazine,4/23/21,12.5,oz
NCH1,post-plant herbicide,Dual II,4/23/21,6,oz
NCH1,fertilize,24S,5/21/21,45,gallons
NCH1,irrigation,water,5/28/21,0.5,in
NCH1,fertilize,24S,6/14/21,12.5,gallons
NCH1,post-plant herbicide,Evik,6/14/21,1.5,lb
NCH1,irrigation,water,7/13/21,0.75,in
NEH1,fertilize,Nitrogen,,150,lb
NEH2,fertilize,32-0-0 (80 lb N per acre),4/13/21,22.7,gallons
NEH2,pre-plant herbicide,Acuron,4/30/21,86,oz
NEH2,pre-plant herbicide,Atrazine,4/30/21,32,oz
NEH2,pre-plant herbicide,DiFlexx,4/30/21,8,oz
NEH2,pre-plant herbicide,Glyphosate,4/30/21,32,oz
NEH3,fertilize,32-0-0 (175 lb N per acre),4/13/21,49.6,gallons
NEH3,pre-plant herbicide,Acuron,4/30/21,86,oz
NEH3,pre-plant herbicide,Atrazine,4/30/21,32,oz
NEH3,pre-plant herbicide,DiFlexx,4/30/21,8,oz
NEH3,pre-plant herbicide,Glyphosate,4/30/21,32,oz
NEH3,irrigation,water,6/4/21,0.45,in
NEH3,irrigation,water,6/8/21,0.45,in
NEH3,post-plant herbicide,Atrazine,6/12/21,16,oz
NEH3,post-plant herbicide,DiFlexx,6/12/21,6,oz
NEH3,post-plant herbicide,Resolve Q,6/12/21,0.7,oz
NEH3,irrigation,water,6/17/21,0.45,in
NEH3,irrigation,water,6/21/21,0.45,in
NEH3,irrigation,water,7/2/21,0.45,in
NEH3,irrigation,water,7/9/21,0.7,in
NEH3,irrigation,water,7/27/21,0.7,in
NEH3,irrigation,water,7/29/21,0.7,in
NEH3,irrigation,water,8/4/21,0.7,in
NEH3,irrigation,water,8/6/21,0.7,in
NEH3,irrigation,water,8/11/21,0.7,in
NEH3,irrigation,water,8/16/21,0.7,in
NEH3,irrigation,water,9/8/21,0.6,in
NEH3,irrigation,water,9/10/21,0.5,in
NYH2,fertilize,10-20-20 with 1% zinc,5/13/21,400,lb
NYH2,post-plant herbicide,Acuron,5/23/21,96,oz
NYH2,fertilize,30% UAN (Equivalent of 80lbs/N),6/24/21,80,lb
NYH3,fertilize,10-20-20 with 1% zinc,5/13/21,400,lb
NYH3,post-plant herbicide,Acuron,5/23/21,96,oz
NYH3,fertilize,30% UAN (Equivalent of 80lbs/N),6/24/21,80,lb
NYS1,fertilize,10-20-20 with 1% zinc,5/13/21,400,lb
NYS1,post-plant herbicide,Acuron,5/13/21,96,oz
NYS1,fertilize,30% UAN (Equivalent of 80lbs/N),6/24/21,80,lb
SCH1,pre-plant herbicide,Bicep magnum II,4/8/21,64,oz
SCH1,fertilize,14-22-22,4/13/21,350,lb
SCH1,fertilize,14-22-22,6/6/21,75,lb
SCH1,post-plant herbicide,Dicamba,6/6/21,19.2,oz
SCH1,post-plant herbicide,2.4-D,8/20/21,,
TXH1,fertilize,Nitrogen,5/17/21,90,lb
TXH1,post-plant herbicide,Broclean,8/1/21,1,oz
TXH1,post-plant herbicide,Roundup,8/3/21,0.75,lb
TXH1,pre-plant herbicide,Atrazine,,48,oz
TXH1,pre-plant herbicide,Dual,,25.6,oz
TXH2,fertilize,Nitrogen,5/17/21,90,lb
TXH2,post-plant herbicide,Broclean,8/1/21,1,oz
TXH2,post-plant herbicide,Roundup,8/3/21,0.75,lb
TXH2,pre-plant herbicide,Atrazine,,48,oz
TXH2,pre-plant herbicide,Dual,,25.6,oz
TXH3,pre-plant herbicide,Roundup,3/10/21,,
TXH3,fertilize,Nitrogen,5/17/21,90,lb
TXH3,pre-plant herbicide,Atrazine,,48,oz
TXH3,pre-plant herbicide,Dual,,25.6,oz
WIH1,fertilize,Urea (46-0-0),4/23/21,285,lb
WIH1,pre-plant herbicide,Mesotrione 45C,5/16/21,6,oz
WIH1,pre-plant herbicide,Moccasin II Plus,5/16/21,1.5,pints
WIH1,pre-plant herbicide,Roundup Powermax,5/16/21,22,oz
WIH1,pre-plant herbicide,Simazine 90 Df,5/16/21,0.5,lb
WIH2,fertilize,32% Nitrogen,5/21/21,40,gallons
WIH2,post-plant herbicide,Explorer (Adjuvant: None. Carrier: water @ 20 gal/acre),5/26/21,6,oz
WIH2,post-plant herbicide,Moccasin II Plus (Adjuvant: None. Carrier: water @ 20 gal/acre),5/26/21,24,oz
WIH2,post-plant herbicide,Brox 2EC (Adjuvant: AMS + MSO. Carrier: water @ 20 gal/acre),6/23/21,6,oz
WIH2,post-plant herbicide,Laudis (Adjuvant: AMS + MSO. Carrier: water @ 20 gal/acre),6/23/21,3,oz
WIH3,fertilize,Potash 0-0-60,4/12/21,100,lb
WIH3,fertilize,10-20-20-4S-2Ca+micros,4/28/21,200,lb
WIH3,post-plant herbicide,Prowl H2O,5/4/21,2,pints
WIH3,irrigation,water,5/11/21,0.35,in
WIH3,irrigation,water,5/14/21,0.35,in
WIH3,irrigation,water,5/17/21,0.35,in
WIH3,irrigation,water,6/4/21,0.4,in
WIH3,irrigation,water,6/6/21,0.4,in
WIH3,irrigation,water,6/8/21,0.4,in
WIH3,post-plant herbicide,AMS - Sprayable,6/9/21,48,oz
WIH3,post-plant herbicide,Laudis,6/9/21,3,oz
WIH3,post-plant herbicide,MSO,6/9/21,20,oz
WIH3,irrigation,water,6/10/21,0.5,in
WIH3,fertilize,46-0-0 Urea,6/14/21,125,lb
WIH3,irrigation,water,6/14/21,0.5,in
WIH3,irrigation,water,6/16/21,0.5,in
WIH3,fertilize,32-0-0 UAN,6/24/21,166,lb
WIH3,irrigation,water,6/24/21,0.4,in
WIH3,irrigation,water,7/2/21,0.4,in
WIH3,irrigation,water,7/4/21,0.4,in
WIH3,irrigation,water,7/6/21,0.4,in
WIH3,irrigation,water,7/11/21,0.4,in
WIH3,irrigation,water,7/13/21,0.4,in
WIH3,fertilize,32-0-0 UAN,7/16/21,166,lb
WIH3,irrigation,water,7/16/21,0.25,in
WIH3,irrigation,water,7/18/21,0.4,in
WIH3,irrigation,water,7/20/21,0.4,in
WIH3,irrigation,water,7/22/21,0.4,in
WIH3,irrigation,water,7/24/21,0.4,in
WIH3,irrigation,water,7/29/21,0.4,in
WIH3,irrigation,water,8/4/21,0.4,in
WIH3,irrigation,water,8/14/21,0.4,in
WIH3,irrigation,water,8/18/21,0.4,in
WIH3,irrigation,water,8/20/21,0.4,in
WIH3,irrigation,water,8/22/21,0.4,in
WIH3,irrigation,water,9/3/21,0.6,in
WIH3,irrigation,water,9/8/21,0.4,in
