Year,Field-Location,RecId,Source,Pedigree,Replicate,Block,Plot,Range,Pass,"LOCAL_CHECK (Yes, No[Blank])",Plot Length Field (center to center in feet),Alley Length (feet),Row Spacing (inches),Plot Area,Rows/Plot,Packet/Plot,Kernels/Packet,# Seed,Date Planted,Date Harvested,Anthesis [date],Silking [date],Pollen DAP [days],Silk DAP [days],Plant Height [cm],Ear Height [cm],Stand Count [plants],Root Lodging [plants],Stalk Lodging [plants],Grain Moisture [%],Test Weight [lbs/bu],Plot Weight [lbs],Grain Yield [bu/A],"Plot Discarded [enter ""yes"" or ""blank""]",Comments,"Filler [enter ""filler"" or ""blank""]",[add additional measurements here]
2015,DEH1,2616028,14SJWE:PHZ51:05009,BSSSC0_023/PHZ51,1,1,12,2,12,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/30/2015,7/6/2015,62,68,264,130,57,0,4,18.8,53.7,13.58,131.8281656,,,,
2015,DEH1,2662468,14SJWE:PHZ51:04022,LH198/PHZ51,1,1,13,2,13,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/2/2015,7/4/2015,64,66,258,129,60,0,0,18.4,57.8,19.82,193.3509092,,,,
2015,DEH1,2662638,WISN14/43771,PHN11_PHW65_0328/PHB47,1,1,14,2,14,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/30/2015,7/2/2015,62,64,244,121,57,0,0,18.7,53.9,18.56,180.3935176,,,,
2015,DEH1,2616027,S14 IC-0065,BSSSC0_023/LH82,1,1,15,2,15,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/25/2015,6/27/2015,57,59,202,100,57,0,0,18.3,52.7,11.4,111.3472044,,,,
2015,DEH1,2662545,13WJWE:LH185:2397,MOG_MO45-030-1-1-1-1-B/LH185,1,1,16,2,16,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/29/2015,7/1/2015,61,63,238,119,56,0,0,20.3,54.3,22.95,218.6721228,,,,
2015,DEH1,2662534,WISN14/43130,MO44_LH145_0127/PHB47,1,1,17,2,17,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/28/2015,6/29/2015,60,61,226,113,58,0,1,18.1,56.1,15.84,155.0927472,,,,
2015,DEH1,2662788,13WJWE:LH185:2835,Z022E0005/LH185,1,1,18,2,18,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/1/2015,7/3/2015,63,65,266,139,58,0,0,19.7,53.1,23.68,227.3262842,,,,
2015,DEH1,2616076,14SJWE:PHZ51:17039,B73_PHG39-22/PHZ51,1,1,19,2,19,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/2/2015,7/5/2015,64,67,282,138,58,0,0,20.2,53.9,18.83,179.641065,,,,
2015,DEH1,2616055,13SAJL:NURSE:0079,B37/H95,1,1,20,2,20,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/2/2015,7/6/2015,64,68,267,139,57,0,1,20.8,54.5,18.95,179.4265909,,,,
2015,DEH1,2662519,13WJWE:LH185:2043,M0058/LH185,1,1,21,3,20,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/1/2015,7/2/2015,63,64,245,115,55,0,0,19.4,54.1,21.77,209.7712087,,,,
2015,DEH1,2662714,S14 IC-0371,W10004_0082/LH82,1,1,22,3,19,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/28/2015,6/29/2015,60,61,226,139,60,0,1,18.9,55.1,19.85,192.457028,,,,
2015,DEH1,2662656,13SAJL:NURSE:0175,PHW52/TX205,1,1,23,3,18,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/4/2015,7/7/2015,66,69,265,117,55,0,2,21.1,50.5,26.04,245.62377,,,,
2015,DEH1,2662606,13WJWE:LH198:3502,PHN11_PHG47_0048/LH198,1,1,24,3,17,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/1/2015,7/2/2015,63,64,224,101,54,0,0,18.1,56.1,17.22,168.6046153,,,,
2015,DEH1,2662612,WISN14/43411,PHN11_PHG47_0251/PHB47,1,1,25,3,16,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/28/2015,6/29/2015,60,61,221,94,59,0,0,17.5,53.3,18.27,180.1959002,,,,
2015,DEH1,2662448,S14 IC-0367,GEMS-0182/LH82,1,2,26,3,15,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/28/2015,6/29/2015,60,61,220,133,57,0,0,19.2,52.7,17.04,164.6013379,,,,
2015,DEH1,2662728,14SJWE:PHZ51:26031,W10004_0232/PHZ51,1,2,27,3,14,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/1/2015,7/2/2015,63,64,261,136,60,0,0,19.3,52.5,20.5,197.778831,,,,
2015,DEH1,2662659,S14 IC-0310,PHW65/LH82,1,2,28,3,13,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/30/2015,7/1/2015,62,63,214,112,59,0,0,19.1,54.7,19.22,185.8892669,,,,
2015,DEH1,2616085,14SJWE:PHZ51:21027,B73_PHG39-8/PHZ51,1,2,29,3,12,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/1/2015,7/3/2015,63,65,259,128,55,0,1,18.7,53.9,19.61,190.5989698,,,,
2015,DEH1,2662690,WISN14/44533,TX204/PHB47,1,2,30,3,11,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/1/2015,7/3/2015,63,65,257,125,59,0,0,20.1,50.7,19.86,189.7048496,,,,
2015,DEH1,2616023,S14 IC-0229,BSSSC0_008/LH82,1,2,31,3,10,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/28/2015,7/2/2015,60,64,203,120,56,0,15,18.8,51.9,10.57,102.6085207,,,,
2015,DEH1,2662551,13WJWE:LH198:3409,MOG_MO45-085-1-1-1-1-B/LH198,1,2,32,3,9,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/30/2015,7/1/2015,62,63,239,141,55,0,2,17.9,56.6,20.21,198.3635538,,,,
2015,DEH1,2662787,13WJWE:LH185:2868,Z022E0003/LH185,1,2,33,3,8,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/28/2015,7/1/2015,60,63,230,113,56,0,0,19.5,54.1,16.76,161.2955198,,,,
2015,DEH1,2662794,S14 IC-0190,Z022E0025/LH82,1,2,34,3,7,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/27/2015,6/28/2015,59,60,223,93,55,0,2,18,52.7,22.75,223.0219779,,,,
2015,DEH1,2662532,14FG0062,MO17/PHB47,1,2,35,3,6,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/28/2015,7/2/2015,60,64,242,125,57,0,1,18.3,57,22.21,216.9317026,,,,
2015,DEH1,2662511,14SJWE:PHZ51:06021,M0015/PHZ51,1,2,36,3,5,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,,,,,,,,,,,,,,Yes,Half of the row was empty,,
2015,DEH1,2616087,14SAJL:NURSE:0548/0547,B73/MO17,1,2,37,3,4,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/1/2015,7/3/2015,63,65,244,121,54,0,1,19.9,57,23.33,223.4084856,,,,
2015,DEH1,2662811,14SJWE:PHZ51:17014,Z022E0114/PHZ51,1,2,38,3,3,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/2/2015,7/6/2015,64,68,294,149,53,0,0,21,54.3,18.36,173.4012316,,,,
2015,DEH1,2662639,13WJWE:LH185:2430,MOG_OH43_0170/LH185,1,2,39,3,2,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/30/2015,7/3/2015,62,65,249,126,54,0,1,20.1,56.3,15.6,149.0128728,,,,
2015,DEH1,2662800,14SJWE:PHZ51:13014,Z022E0050/PHZ51,1,2,40,3,1,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/2/2015,7/4/2015,64,66,271,121,57,0,0,19.8,55.9,19.82,190.0336142,,,,
2015,DEH1,2662799,14SJWE:PHZ51:13013,Z022E0048/PHZ51,1,2,41,4,1,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/2/2015,7/5/2015,64,67,274,128,50,0,1,20.3,54.7,16.38,156.0718681,,,,
2015,DEH1,2662669,13WJWE:LH185:2550,PHW65_MOG_0271/LH185,1,2,42,4,2,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/1/2015,7/2/2015,63,64,245,123,50,0,1,21.7,54.5,21.06,197.1389952,,,,
2015,DEH1,2662635,CS14-ISO195-068-X-POL-G8,PHN11_PHW65_0323/LH195,1,2,43,4,3,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/3/2015,7/4/2015,65,66,242,121,59,0,0,22.2,56.1,18.62,173.185562,,,,
2015,DEH1,2662712,13WJWE:LH185:2604,W10004_0076/LH185,1,2,44,4,4,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/29/2015,7/1/2015,61,63,223,109,52,0,0,19,55.9,19.22,186.1190435,,,,
2015,DEH1,2662454,14SAJL:NURSE:0558/0557,LH132/LH51,1,2,45,4,5,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/1/2015,7/3/2015,63,65,251,132,50,0,0,19.9,57.6,23.49,224.9406484,,,,
2015,DEH1,2662711,14SJWE:PHZ51:24031,W10004_0032/PHZ51,1,2,46,4,6,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/28/2015,6/29/2015,60,61,230,123,56,0,0,17.8,59.2,17.95,176.3959787,,,,
2015,DEH1,2662456,14SJWE:PHZ51:11010,LH145/PHZ51,1,2,48,4,8,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/28/2015,6/29/2015,60,61,269,129,60,0,2,17.8,60.2,17.88,175.7080835,,,,
2015,DEH1,2616097,13SAJL:NURSE:0187,B73/TX205,1,2,49,4,9,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/3/2015,7/5/2015,65,67,288,170,55,0,0,21.6,51.1,18.74,175.6459171,,,,
2015,DEH1,2662542,WISN14/44467,MOG_LH123HT-200-1-1-1-1-B/PHB47,1,2,50,4,10,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/30/2015,7/3/2015,62,65,273,145,59,0,0,20.5,51.7,18.16,172.5978504,,,,
2015,DEH1,2662726,14SJWE:PHZ51:25034,W10004_0227/PHZ51,1,3,51,4,11,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/30/2015,6/30/2015,62,62,252,127,57,0,2,18.9,54.3,16.84,163.2733679,,,,
2015,DEH1,2662661,CS14-ISO195-128-X-POL-G8,PHW65_MOG_0012/LH195,1,3,52,4,12,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/2/2015,7/3/2015,64,65,224,122,57,0,0,20.4,53.9,19.63,186.8038304,,,,
2015,DEH1,2662760,13WJWE:LH185:2643,Z013E0012/LH185,1,3,53,4,13,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/2/2015,7/4/2015,64,66,241,121,50,0,1,21.6,53.7,23.09,216.4175147,,,,
2015,DEH1,2662450,CS14-ISO195-086-X-POL-G8,LAMA2002-12-1-B-B-B-B-B-B-1-B28-B14/LH195,1,3,54,4,14,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/6/2015,7/9/2015,68,71,254,142,55,0,0,25.2,50.1,23.38,209.0732712,,,,
2015,DEH1,2662417,14FG0131,CML247/LH195,1,3,55,4,15,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/7/2015,7/10/2015,69,72,268,148,58,0,0,27,48.8,27.1,236.5073058,,,,
2015,DEH1,2662641,WISN14/43763,PHP02/PHB47,1,3,56,4,16,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/28/2015,6/29/2015,60,61,214,82,58,1,0,19.3,53.5,21.66,208.9702185,,,,
2015,DEH1,2662671,13WJWE:LH185:2427,MOG_OH43_0071/LH185,1,3,57,4,17,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,,,,,,,,,,,,,,Yes,Half of the row was empty,,
2015,DEH1,2662535,CS14-ISO195-149-X-POL-G8,MO44_LH145_0138/LH195,1,3,58,4,18,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,,,,,,,,,,,,,,Yes,Half of the row was empty,,
2015,DEH1,2662460,S14 CR-0075,CG60/LH162,1,3,59,4,19,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/23/2015,6/22/2015,55,54,202,87,56,0,3,16.3,55.9,15.53,155.3993949,,,,
2015,DEH1,2616021,S14 IC-0228,BSSSC0_002/LH82,1,3,60,4,20,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/28/2015,6/30/2015,60,62,210,101,48,0,5,17.4,53.7,15.52,153.25836,,,,
2015,DEH1,2662472,CS14-ISO195-240-X-POL-G8,LH61/LH195,1,3,61,5,20,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/1/2015,7/2/2015,63,64,231,104,45,0,0,19,55.5,21.25,205.7767781,,,,
2015,DEH1,2662585,S14 IC-0305,PHM49/LH82,1,3,62,5,19,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/29/2015,6/30/2015,61,62,194,75,56,0,0,17.6,56.3,16.51,162.6397487,,,,
2015,DEH1,2616047,14SJWE:PHZ51:26014,B111/PHZ51,1,3,63,5,18,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/2/2015,7/4/2015,64,66,265,129,59,0,0,19,54.7,20.99,203.2590387,,,,
2015,DEH1,2662471,CS14-ISO195-189-X-POL-G8,LH212HT/LH195,1,3,64,5,17,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/3/2015,7/7/2015,65,69,265,148,51,0,0,19.8,53.3,22.61,216.7840574,,,,
2015,DEH1,2662553,13WJWE:LH185:2412,MOG_MO45-128-1-1-1-1-B/LH185,1,3,65,5,16,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/24/2015,7/2/2015,56,64,240,112,55,0,0,20.3,51.9,21.98,209.4297717,,,,
2015,DEH1,2616045,14SJWE:PHZ51:17025,B106/PHZ51,1,3,66,5,15,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/29/2015,7/1/2015,61,63,288,148,59,0,0,20.8,53.7,19.68,186.3385387,,,,
2015,DEH1,2662767,13WJWE:LH185:2059,M0341/LH185,1,3,67,5,14,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/29/2015,7/2/2015,61,64,240,135,50,0,0,18.1,51.5,17.26,168.9962637,,,,
2015,DEH1,2662405,S14 CR-0268,CG108/CG102,1,3,68,5,13,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/23/2015,6/23/2015,55,55,224,115,59,0,2,17.3,51.5,16.27,160.8590399,,,,
2015,DEH1,2616060,WE13-80ISO-068-X-POL-80,PHB47/PB80,1,3,69,5,12,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/29/2015,6/30/2015,61,62,241,117,51,1,1,18.9,55.9,17.15,166.278994,,,,
2015,DEH1,2662756,13SAJL:NURSE:0089,WF9/H95,1,3,70,5,11,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/29/2015,7/3/2015,61,65,264,125,57,0,9,20.4,52.7,14.57,138.6516459,,,,
2015,DEH1,2662783,13WJWE:LH185:2733,Z013E0082/LH185,1,3,71,5,10,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/2/2015,7/3/2015,64,65,266,134,59,0,0,22.3,49.4,24.46,227.2112763,,,,
2015,DEH1,2662751,WISN14/44302,W10008_0069/PHB47,1,3,72,5,9,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/29/2015,7/1/2015,61,63,262,137,59,0,7,18.5,53.7,15.83,154.2378396,,,,
2015,DEH1,2662666,WISN14/44401,PHW65_MOG_0137/PHB47,1,3,73,5,8,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/30/2015,6/30/2015,62,62,239,103,57,0,0,21,57.2,20.7,195.5013886,,,,
2015,DEH1,2662512,14SJWE:PHZ51:10002,M0024/PHZ51,1,3,75,5,6,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/1/2015,7/2/2015,63,64,266,133,55,0,0,17.4,58,18.7,184.660524,,,,
2015,DEH1,2662572,13SAJL:NURSE:0125,PHG39/PHG35,1,4,76,5,5,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/1/2015,7/3/2015,63,65,266,153,57,0,0,20.2,57.8,23.31,222.3809466,,,,
2015,DEH1,2662646,CS14-ISO195-092-X-POL-G8,PHV63/LH195,1,4,77,5,4,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/3/2015,7/5/2015,65,67,251,135,53,0,1,19.8,57.2,19.87,190.5130128,,,,
2015,DEH1,2662517,S14 IC-0285,M0041/LH82,1,4,78,5,3,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/28/2015,6/29/2015,60,61,217,113,55,0,4,19.2,58,17.25,166.6298755,,,,
2015,DEH1,2662782,14SJWE:PHZ51:19031,Z013E0080/PHZ51,1,4,79,5,2,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/2/2015,7/4/2015,64,66,260,140,56,0,0,20.8,58,22.26,210.7670667,,,,
2015,DEH1,2662501,LOCAL_CHECK_3,DKC63-87 RIB GENVT2P,1,4,80,5,1,Yes,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/2/2015,7/2/2015,64,64,259,130,60,0,0,21.6,53.5,27.14,254.377278,,,,
2015,DEH1,2662523,14SJWE:PHZ51:21038,M0101/PHZ51,1,4,81,6,1,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/30/2015,7/2/2015,62,64,266,136,35,0,0,19.3,55.7,15.39,148.4788394,,,,
2015,DEH1,2662575,13SAJL:NURSE:0147,PHG39/PHN82,1,4,82,6,2,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/1/2015,7/3/2015,63,65,257,127,59,0,0,20.9,57.6,25.6,242.0855451,,,,
2015,DEH1,2662814,13WJWE:LH185:2407,MOG_MO45-078-1-1-1-1-B/LH185,1,4,83,6,3,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/29/2015,7/1/2015,61,63,254,129,58,1,11,21.2,55.1,17.44,164.2952879,,,,
2015,DEH1,2616061,WISN14/43679,PHB47/PHB47,1,4,84,6,4,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/29/2015,6/29/2015,61,61,234,108,54,0,0,18.5,57.2,20.89,203.5393852,,,,
2015,DEH1,2616025,S14 IC-0230,BSSSC0_019/LH82,1,4,85,6,5,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/29/2015,6/30/2015,61,62,224,102,56,0,1,18.8,56.1,14.82,143.8654944,,,,
2015,DEH1,2616041,14SJWE:PHZ51:07008,A634/PHZ51,1,4,86,6,6,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/28/2015,7/2/2015,60,64,250,131,56,0,0,16.6,58,19.31,192.53103,,,,
2015,DEH1,2662403,S14 IC-0011,CG102/LH82,1,4,87,6,7,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/23/2015,6/25/2015,55,57,200,73,51,0,0,18.5,56.8,14.91,145.2739222,,,,
2015,DEH1,2662709,S14 IC-0369,W10004_0032/LH82,1,4,88,6,8,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/27/2015,6/27/2015,59,59,190,84,42,0,0,17.8,57.8,15.17,149.0767129,,,,
2015,DEH1,2616053,13SAJL:NURSE:0011,B37/C103,1,4,89,6,9,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/2/2015,7/7/2015,64,69,261,148,59,0,1,20.4,52.7,20.72,197.1765341,,,,
2015,DEH1,2662675,CS14-ISO195-013-X-POL-G8,PHZ51/LH195,1,4,90,6,10,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/4/2015,7/6/2015,66,68,274,127,55,0,2,19.2,54.7,16.92,163.4421736,,,,
2015,DEH1,2662462,CS14-BISO-13-X-POL-TL7,LH195/TX777,1,4,91,6,11,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/3/2015,7/4/2015,65,66,272,137,55,0,1,19.8,54.5,19.94,191.1841709,,,,
2015,DEH1,2662698,CS14-ISO195-198-X-POL-G8,TX772/LH195,1,4,92,6,12,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/2/2015,7/5/2015,64,67,231,110,58,0,0,23.9,53.9,21,191.0540997,,,,
2015,DEH1,2662707,WISN14/44242,W10002_0001/PHB47,1,4,93,6,13,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/28/2015,6/29/2015,60,61,242,128,56,0,1,19.2,53.1,16.29,157.3565607,,,,
2015,DEH1,2662412,14SJWE:PHZ51:10007,CH753-4/PHZ51,1,4,94,6,14,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/28/2015,7/1/2015,60,63,235,109,53,0,0,17,54.3,15.2,150.8252626,,,,
2015,DEH1,2662605,WISN14/43789,PHN11_OH43_0184/PHB47,1,4,95,6,15,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/28/2015,6/29/2015,60,61,218,77,55,0,0,18.7,53.1,17.63,171.3544028,,,,
2015,DEH1,2616044,S14 IC-0241,B106/LH82,1,4,96,6,16,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/28/2015,6/29/2015,60,61,245,125,59,0,2,18.8,55.3,21.56,209.2942011,,,,
2015,DEH1,2662752,WISN14/44306,W10008_0092/PHB47,1,4,97,6,17,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/28/2015,7/2/2015,60,64,234,100,55,0,0,18.6,54.1,16.75,163.0015094,,,,
2015,DEH1,2662537,13WJWE:LH198:3328,MO44_PHG47_0072/LH198,1,4,98,6,18,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/1/2015,7/3/2015,63,65,230,109,37,0,1,16.7,54.3,12.59,125.3785206,,,,
2015,DEH1,2662508,S14 IC-0098,M0008/LH82,1,4,99,6,19,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/29/2015,6/30/2015,61,62,223,110,58,0,3,17.1,55.5,14.94,148.0667479,,,,
2015,DEH1,2662435,14SJWE:PHZ51:14043,GEMS-0146/PHZ51,1,4,100,6,20,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/2/2015,7/2/2015,64,64,277,131,53,0,0,19,55.5,26.73,258.8429778,,,,
2015,DEH1,2662738,WISN14/44259,W10005_0111/PHB47,1,5,101,7,20,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/28/2015,6/30/2015,60,62,220,96,59,0,0,18,56.1,17.47,171.2612727,,,,
2015,DEH1,2662564,14SJWE:PHZ51:22045,PB80/PHZ51,1,5,102,7,19,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/29/2015,7/1/2015,61,63,258,136,48,0,0,17.9,57.2,19.55,191.8855753,,,,
2015,DEH1,2616098,S14 IC-0277,B79/LH82,1,5,103,7,18,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/29/2015,6/30/2015,61,62,186,104,40,0,4,18,54.1,10.04,98.4237652,,,,
2015,DEH1,2616018,CS14-ISO195-057-X-POL-G8,(LAMA2002-35-2-B-B-B-B_CG44)-1-3-B-1-1-B24-B5-B16/LH195,1,5,104,7,17,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/6/2015,7/9/2015,68,71,228,113,54,0,0,23.2,49,26.9,246.982345,,,,
2015,DEH1,2662411,S14 IC-0083,CH753-4/LH82,1,5,105,7,16,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/26/2015,6/26/2015,58,58,184,85,58,0,2,18.3,55.3,13.91,135.863124,,,,
2015,DEH1,2662807,13WJWE:LH185:2826,Z022E0097/LH185,1,5,106,7,15,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/29/2015,7/2/2015,61,64,267,128,58,0,0,19.6,51.7,25.69,246.9292645,,,,
2015,DEH1,2662602,CS14-ISO195-018-X-POL-G8,PHN11_OH43_0142/LH195,1,5,107,7,14,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/1/2015,7/3/2015,63,65,244,130,59,0,5,20.9,53.1,19.84,187.6162975,,,,
2015,DEH1,2662806,WISN14/43723,B118/PHB47,1,5,108,7,13,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/28/2015,6/30/2015,60,62,234,108,57,0,0,18.7,54.7,20.98,203.9146551,,,,
