Year,Field-Location,RecId,Source,Pedigree,Replicate,Block,Plot,Range,Pass,"LOCAL_CHECK (Yes, No[Blank])",Plot Length Field,Alley Length,Row Spacing,Plot Area,Rows/Plot,Packet/Plot,Kernels/Packet,# Seed,Date Planted,Date Harvested,Anthesis [date],Silking [date],Pollen DAP [days],Silk DAP [days],Plant Height [cm],Ear Height [cm],Stand Count [plants],Root Lodging [plants],Stalk Lodging [plants],Grain Moisture [%],Test Weight [lbs/bu],Plot Weight [lbs],Grain Yield [bu/A],"Plot Discarded [enter ""yes"" or ""blank""]",Comments,"Filler [enter ""filler"" or ""blank""]",[add additional measurements here]
2014,TXH1,2218917,WE13-195ISO-329-X-POL-195,MOG_LH123HT-031-1-1-1-1-B/LH195,2,9,217,17,16,,25,4,30,105,,,,47,3/1/14,8/21/14,5/23/14,5/25/14,83,85,196,107,86,,,12.1,57.7,26.46,203.9071952,,,,
2014,TXH1,2218640,WE13-195ISO-249-X-POL-195,MOG_LH123HT-200-1-1-1-1-B/LH195,1,7,170,8,32,,25,4,30,105,,,,47,3/1/14,8/21/14,5/25/14,5/25/14,85,85,229,114,86,,,11.8,58.5,25.72,198.8810413,,,,
2014,TXH1,2218763,WE13-80ISO-411-X-POL-80.2,PHV63/PB80,2,2,23,12,5,,25,4,30,105,,,,47,3/1/14,8/21/14,5/24/14,5/24/14,84,84,193,86,86,,,11.2,58.5,25.07,195.1736282,,,,
2014,TXH1,2218860,WE13-195ISO-149-X-POL-195,TX303/LH195,2,10,256,18,28,,25,4,30,105,,,,47,3/1/14,8/21/14,5/27/14,5/27/14,87,87,218,137,86,,,11.9,57.4,24.75,191.1634886,,,,
2014,TXH1,2218876,WE13-195ISO-251-X-POL-195,B73_NC230-129-1-1-1-1/LH195,2,9,202,17,31,,25,4,30,105,,,,47,3/1/14,8/21/14,5/26/14,5/26/14,86,86,185,86,86,,,12.2,59.5,24.4,187.818418,,,,
2014,TXH1,2218742,WE13-80ISO-079-X-POL-80,Z013E0078/PB80,2,8,177,16,19,,25,4,30,105,,,,47,3/1/14,8/21/14,5/24/14,5/25/14,84,85,201,89,86,,,12.4,59.8,19.46,149.4516719,,,,
2014,TXH1,2218534,WE13-80ISO-252-X-POL-80,MOG_PHG83-069-1-1-1-1-B/PB80,1,5,93,6,25,,25,4,30,105,,,,47,3/1/14,8/21/14,5/23/14,5/22/14,83,82,203,117,86,,,11.5,57.5,16.32,126.6243593,,,,
2014,TXH1,2218665,GTF-01:04,LH82/LH198,2,3,55,12,37,,25,4,30,105,,,,47,3/1/14,8/21/14,5/14/14,5/15/14,74,75,157,79,86,,,11.1,59.2,15.82,123.2997159,,,,
2014,TXH1,2218667,GTF-01:06,LH195/REDEAR-B,2,3,37,12,19,,25,4,30,105,,,,47,3/1/14,8/21/14,5/19/14,5/21/14,79,81,180,84,85,,,11.9,59.2,23.37,180.5046759,,,,
2014,TXH1,2218489,WE13-80ISO-200-X-POL-80.2,Z013E0046/PB80,1,9,226,10,18,,25,4,30,105,,,,47,3/1/14,8/21/14,5/26/14,5/26/14,86,86,201,102,85,,,12.6,61.6,23.07,176.7717507,,,,
2014,TXH1,2218815,WE13-80ISO-034-X-POL-80,MOG_NC230-009-1-1-1-1-B/PB80,2,5,108,14,20,,25,4,30,105,,,,47,3/1/14,8/21/14,5/21/14,5/22/14,81,82,221,109,85,,,11.9,58.8,22.21,171.5450942,,,,
2014,TXH1,2218503,WE13-80ISO-411-X-POL-80.2,PHV63/PB80,1,6,138,7,5,,25,4,30,105,,,,47,3/1/14,8/21/14,5/22/14,5/23/14,82,83,180,94,85,,,11.2,61.6,21.44,166.9135456,,,,
2014,TXH1,2218402,GTF-01:01,LH162/CG60,1,8,218,10,10,,25,4,30,105,,,,47,3/1/14,8/21/14,5/15/14,5/15/14,75,75,147,64,85,,,13,54.9,10.06,76.73103728,,,,
2014,TXH1,2218500,LOCAL_CHECK,DEKALB 64-69,1,9,224,10,16,Yes,25,4,30,105,,,,47,3/1/14,8/21/14,5/23/14,5/22/14,83,82,203,97,84,,,12.3,58.7,31.08,238.9650785,,,,
2014,TXH1,2218406,GTF-01:05,LH198/CGR01,1,8,219,10,11,,25,4,30,105,,,,47,3/1/14,8/21/14,5/24/14,5/24/14,84,84,196,94,84,,,12.3,61.6,26.53,203.9814521,,,,
2014,TXH1,2218680,13SAJL:NURSE:0121,PHG39/PHG35,2,3,44,12,26,,25,4,30,105,,,,47,3/1/14,8/21/14,5/24/14,5/25/14,84,85,191,84,84,,,11.2,57.3,23.78,185.1307889,,,,
2014,ONH2,2216106,13WJWE:LH198:3625,W10005_0147/LH198,2,4,142,14,26,,20,3,30,87.5,,,,40,5/27/14,11/29/14,7/29/14,8/4/14,63,69,228,113,84,0,42,25.2,68.2,23.39,184.0631718,,,,
2014,TXH1,2218548,WE13-80ISO-226-X-POL-80,MOG_NC230-028-1-1-1-1-B/PB80,1,5,121,7,22,,25,4,30,105,,,,47,3/1/14,8/21/14,5/22/14,5/22/14,82,82,198,102,84,,,11,57.2,16.48,128.5881801,,,,
2014,TXH1,2218686,13SAJL:NURSE:0085,WF9/H95,2,3,52,12,34,,25,4,30,105,,,,47,3/1/14,8/21/14,5/22/14,5/22/14,82,82,180,89,83,,,12.1,58.8,33.62,259.0838965,,,,
2014,TXH1,2218900,WE13-195ISO-249-X-POL-195,MOG_LH123HT-200-1-1-1-1-B/LH195,2,9,229,17,4,,25,4,30,105,,,,47,3/1/14,8/21/14,5/25/14,5/26/14,85,86,188,91,83,,,11,58.5,25.89,202.0114067,,,,
2014,TXH1,2218423,13SAJL:NURSE:0127,PHW52/PHG35,1,8,217,10,9,,25,4,30,105,,,,47,3/1/14,8/21/14,5/24/14,5/24/14,84,84,180,89,83,,,10.9,58.2,24.32,189.9744127,,,,
2014,TXH1,2218899,WE13-195ISO-240-X-POL-195,MOG_PHG83-090-1-1-1-1-B/LH195,2,9,234,18,6,,25,4,30,105,,,,47,3/1/14,8/21/14,5/25/14,5/25/14,85,85,193,102,83,,,10.8,58.3,23.33,182.4456147,,,,
2014,TXH1,2218790,WE13-80ISO-255-X-POL-80,MOG_MO45-139-1-1-1-1-B/PB80,2,5,114,14,26,,25,4,30,105,,,,47,3/1/14,8/21/14,5/21/14,5/22/14,81,82,201,102,83,,,12.2,60.9,23.43,180.3518661,,,,
2014,TXH1,2218895,WE13-195ISO-049-X-POL-195,MOG_PHG83-129-1-1-1-1-B/LH195,2,9,244,18,16,,25,4,30,105,,,,47,3/1/14,8/21/14,5/23/14,5/23/14,83,83,193,89,83,,,12.3,55.9,23.34,179.4544701,,,,
2014,TXH1,2218420,13SAJL:NURSE:0121,PHG39/PHG35,1,8,213,10,5,,25,4,30,105,,,,47,3/1/14,8/21/14,5/24/14,5/25/14,84,85,185,86,83,,,10.7,57.4,21.84,170.9849669,,,,
2014,TXH1,2218484,WE13-80ISO-014-X-POL-80,Z013E0022/PB80,1,9,235,10,27,,25,4,30,105,,,,47,3/1/14,8/21/14,5/25/14,5/25/14,85,85,196,91,83,,,11.9,58.1,20.81,160.731806,,,,
2014,TXH1,2218530,WE13-80ISO-255-X-POL-80,MOG_MO45-139-1-1-1-1-B/PB80,1,5,111,7,32,,25,4,30,105,,,,47,3/1/14,8/21/14,5/21/14,5/23/14,81,83,201,91,83,,,12.1,60.2,19.75,152.1983033,,,,
2014,TXH1,2218608,WE13-195ISO-125-X-POL-195,Z013E0037/LH195,1,1,7,4,9,,25,4,30,105,,,,47,3/1/14,8/21/14,5/25/14,5/26/14,85,86,188,94,83,,,11.2,61.8,18.34,142.7795908,,,,
2014,TXH1,2218493,WE13-80ISO-362-X-POL-80,Z013E0003/PB80,1,9,243,10,35,,25,4,30,105,,,,47,3/1/14,8/21/14,5/24/14,5/26/14,84,86,191,79,83,,,11,59.2,17.54,136.8590218,,,,
2014,TXH1,2218820,WE13-80ISO-227-X-POL-80,MOG_NC230-043-1-1-1-1-B/PB80,2,5,111,14,23,,25,4,30,105,,,,47,3/1/14,8/21/14,5/25/14,5/25/14,85,85,196,109,83,,,11.3,60.2,16.26,126.4439333,,,,
2014,TXH1,2218775,LOCAL_CHECK,DEKALB 64-69,2,2,29,12,11,Yes,25,4,30,105,,,,47,3/1/14,8/21/14,5/23/14,5/22/14,83,82,203,91,82,,,12.2,59,34.02,261.8681385,,,,
2014,TXH1,2218426,13SAJL:NURSE:0085,WF9/H95,1,8,199,9,14,,25,4,30,105,,,,47,3/1/14,8/21/14,5/22/14,5/22/14,82,82,206,102,82,,,12,60.5,31.78,245.1830261,,,,
2014,TXH1,2218681,13SAJL:NURSE:0097,PHG39/PHM49,2,3,36,12,18,,25,4,30,105,,,,47,3/1/14,8/21/14,5/21/14,5/22/14,81,82,191,79,82,,,11.5,59,27.38,212.4371911,,,,
2014,IAH4,2186439,13WJWE:LH185:2724,Z013E0078/LH185,2,2,58,33,39,,20,3,30,85,,,,72,5/19/14,10/28/14,,,,,245,112,82,0,0,21,53.6,24.61,210.5537178,,,,
2014,TXH1,2218424,13SAJL:NURSE:0103,PHW52/PHM49,1,8,200,9,13,,25,4,30,105,,,,47,3/1/14,8/21/14,5/22/14,5/23/14,82,83,198,91,82,,,12.2,59.3,26.66,205.2147141,,,,
2014,TXH1,2218670,13SAJL:NURSE:0189,B73/TX205,2,3,40,12,22,,25,4,30,105,,,,47,3/1/14,8/21/14,5/21/14,5/23/14,81,83,165,84,82,,,11.1,56.1,25.2,196.4066271,,,,
2014,TXH1,2218632,WE13-195ISO-389-X-POL-195.2,MOG_MO45-054-1-1-1-1-B/LH195,1,7,189,9,24,,25,4,30,105,,,,47,3/1/14,8/21/14,5/23/14,5/23/14,83,83,213,104,82,,,12,59.2,23.3,179.7597391,,,,
2014,IAH4,2186297,13SAJL:NURSE:0073,B14A/H95,2,1,9,28,39,,20,3,30,85,,,,72,5/19/14,10/28/14,,,,,238,110,82,0,0,18,58.4,20.12,178.6759245,,,,
2014,TXH1,2218624,WE13-195ISO-200-X-POL-195,PHN11_PHW65_0294/LH195,1,7,186,9,27,,25,4,30,105,,,,47,3/1/14,8/21/14,5/22/14,5/22/14,82,82,185,86,82,,,11.8,57.8,22.63,174.9874792,,,,
2014,TXH1,2218745,WE13-80ISO-303-X-POL-80,Z013E0087/PB80,2,8,181,16,23,,25,4,30,105,,,,47,3/1/14,8/21/14,5/24/14,5/24/14,84,84,191,102,82,,,12,59.2,22.09,170.4245767,,,,
2014,TXH1,2218746,WE13-80ISO-285-X-POL-80,Z013E0069/PB80,2,8,178,16,20,,25,4,30,105,,,,47,3/1/14,8/21/14,5/24/14,5/25/14,84,85,206,107,82,,,12.1,59.5,21.71,167.3025399,,,,
2014,TXH1,2218651,WE13-195ISO-378-X-POL-195.2,PHN11_PHW65_0101/LH195,1,7,160,8,22,,25,4,30,105,,,,47,3/1/14,8/21/14,5/22/14,5/22/14,82,82,191,74,82,,,11.8,60.3,21.54,166.5590058,,,,
2014,TXH1,2218523,WE13-80ISO-030-X-POL-80,MO44_LH145_0081/PB80,1,5,129,7,14,,25,4,30,105,,,,47,3/1/14,8/21/14,5/24/14,5/23/14,84,83,193,104,82,,,11.7,58.7,21.36,165.3544122,,,,
2014,TXH1,2218689,WE13-80ISO-398-X-POL-80,M0315/PB80,2,4,78,13,15,,25,4,30,105,,,,47,3/1/14,8/21/14,5/22/14,5/23/14,82,83,203,104,82,,,12,57,21.41,165.1783697,,,,
2014,TXH1,2218613,WE13-195ISO-281-X-POL-195,Z013E0022/LH195,1,1,14,4,16,,25,4,30,105,,,,47,3/1/14,8/21/14,5/25/14,5/25/14,85,85,185,84,82,,,12.1,58.8,20.97,161.59992,,,,
2014,TXH1,2218839,WE13-195ISO-157-X-POL-195,M0031/LH195,2,1,1,11,22,,25,4,30,105,,,,47,3/1/14,8/21/14,5/25/14,5/26/14,85,86,206,84,82,,,11.8,59,20.66,159.7543668,,,,
2014,TXH1,2218809,WE13-80ISO-352-X-POL-80,MOG_MO45-128-1-1-1-1-B/PB80,2,5,131,15,32,,25,4,30,105,,,,47,3/1/14,8/21/14,5/22/14,5/23/14,82,83,188,94,82,,,12.4,59,19.34,148.5300789,,,,
2014,TXH1,2218622,WE13-195ISO-361-X-POL-195,B73_NC230-041-1-1-1-1/LH195,1,7,166,8,28,,25,4,30,105,,,,47,3/1/14,8/21/14,5/26/14,5/27/14,86,87,191,94,82,,,11.4,59,17.28,134.2243458,,,,
2014,TXH1,2218411,GTF-01:10,B73/MO17,1,8,202,9,11,,25,4,30,105,,,,47,3/1/14,8/21/14,5/23/14,5/26/14,83,86,221,99,82,,,12.5,60.5,14.1,108.1635671,,,,
2014,TXH1,2218817,WE13-80ISO-056-X-POL-80,PHN11_PHW65_0328/PB80,2,5,122,14,34,,25,4,30,105,,,,47,3/1/14,8/21/14,5/22/14,5/22/14,82,82,198,109,82,,,12.7,,11.26,86.17999609,,,,
2014,TXH1,2218614,LOCAL_CHECK,DEKALB 64-69,1,1,13,4,15,Yes,25,4,30,105,,,,47,3/1/14,8/21/14,5/22/14,5/22/14,82,82,203,81,81,,,12.1,60.1,29.69,228.7983607,,,,
2014,TXH1,2218666,GTF-01:05,LH198/CGR01,2,3,54,12,36,,25,4,30,105,,,,47,3/1/14,8/21/14,5/24/14,5/24/14,84,84,201,102,81,,,11.1,61.6,27.1,211.2150633,,,,
2014,TXH1,2218772,WE13-80ISO-387-X-POL-80.2,TX303/PB80,2,2,31,12,13,,25,4,30,105,,,,47,3/1/14,8/21/14,5/24/14,5/25/14,84,85,231,107,81,,,11.9,58,26.29,203.0581057,,,,
2014,TXH1,2218512,WE13-80ISO-387-X-POL-80.2,TX303/PB80,1,6,144,8,6,,25,4,30,105,,,,47,3/1/14,8/21/14,5/24/14,5/25/14,84,85,196,109,81,,,10.9,57,25.39,198.3326619,,,,
2014,TXH1,2218675,13SAJL:NURSE:0115,B73/PHM49,2,3,38,12,20,,25,4,30,105,,,,47,3/1/14,8/21/14,5/22/14,5/23/14,82,83,193,99,81,,,11.4,58.7,25.44,197.6080646,,,,
2014,TXH1,2218463,WE13-80ISO-078-X-POL-80,Z022E0123/PB80,1,4,78,6,10,,25,4,30,105,,,,47,3/1/14,8/21/14,5/22/14,5/23/14,82,83,203,102,81,,,11.8,57.2,23.88,184.6531597,,,,
2014,IAH4,2186433,13WJWE:LH185:2652,Z013E0020/LH185,2,2,48,32,40,,20,3,30,85,,,,72,5/19/14,10/28/14,,,,,246,92,81,0,0,21.5,53.7,21.11,179.4659653,,,,
2014,TXH1,2218647,WE13-195ISO-384-X-POL-195,MOG_PHG83-069-1-1-1-1-B/LH195,1,7,155,8,17,,25,4,30,105,,,,47,3/1/14,8/21/14,5/23/14,5/23/14,83,83,180,84,81,,,11.5,58.9,22.81,176.9792669,,,,
2014,TXH1,2218892,WE13-195ISO-389-X-POL-195.2,MOG_MO45-054-1-1-1-1-B/LH195,2,9,236,18,8,,25,4,30,105,,,,47,3/1/14,8/21/14,5/23/14,5/23/14,83,83,191,94,81,,,10.9,59.9,22.28,174.039059,,,,
2014,TXH1,2218542,WE13-80ISO-319-X-POL-80,MOG_LH123HT-059-1-1-1-1-B/PB80,1,5,90,6,22,,25,4,30,105,,,,47,3/1/14,8/21/14,5/23/14,5/23/14,83,83,218,112,81,,,11.2,57.5,21.65,168.5484264,,,,
2014,TXH1,2218822,WE13-80ISO-351-X-POL-80,MOG_MO45-071-1-1-1-1-B/PB80,2,5,102,14,14,,25,4,30,105,,,,47,3/1/14,8/21/14,5/21/14,5/22/14,81,82,198,104,81,,,12,57.9,21.78,168.0329235,,,,
2014,TXH1,2218641,WE13-195ISO-044-X-POL-195,MOG_MO45-030-1-1-1-1-B/LH195,1,7,159,8,21,,25,4,30,105,,,,47,3/1/14,8/21/14,5/22/14,5/23/14,82,83,183,81,81,,,16,59.5,22.41,165.0345899,,,,
2014,TXH1,2218483,WE13-80ISO-406-X-POL-80,Z013E0026/PB80,1,9,234,10,26,,25,4,30,105,,,,47,3/1/14,8/21/14,5/24/14,5/24/14,84,84,196,86,81,,,12.8,61.3,21.41,163.6767481,,,,
2014,TXH1,2218495,WE13-80ISO-297-X-POL-80,Z013E0032/PB80,1,9,228,10,20,,25,4,30,105,,,,47,3/1/14,8/21/14,5/25/14,5/25/14,85,85,185,89,81,,,11.7,60.1,21.02,162.7223663,,,,
2014,TXH1,2218480,WE13-80ISO-112-X-POL-80,Z013E0027/PB80,1,9,223,10,15,,25,4,30,105,,,,47,3/1/14,8/21/14,5/24/14,5/25/14,84,85,193,94,81,,,11.9,59.7,20.62,159.2642883,,,,
2014,TXH1,2218481,WE13-80ISO-209-X-POL-80,Z013E0062/PB80,1,9,225,10,17,,25,4,30,105,,,,47,3/1/14,8/21/14,5/26/14,5/26/14,86,86,196,74,81,,,11.6,60.7,19.81,153.5290549,,,,
2014,TXH1,2218545,WE13-80ISO-254-X-POL-80,MOG_OH43_0300/PB80,1,5,99,6,31,,25,4,30,105,,,,47,3/1/14,8/21/14,5/22/14,5/22/14,82,82,206,109,81,,,11.7,58.7,19.81,153.3553795,,,,
2014,TXH1,2218502,WE13-80ISO-068-X-POL-80,PHB47/PB80,1,6,142,8,4,,25,4,30,105,,,,47,3/1/14,8/21/14,5/22/14,5/22/14,82,82,188,91,81,,,11.2,60.1,19.65,152.978133,,,,
2014,TXH1,2218659,WE13-195ISO-094-X-POL-195,PHN11_LH145_0028/LH195,1,7,157,8,19,,25,4,30,105,,,,47,3/1/14,8/21/14,5/21/14,5/22/14,81,82,191,86,81,,,11.7,60,19.74,152.8134877,,,,
2014,TXH1,2218618,WE13-195ISO-252-X-POL-195,B73_NC230-126-1-1-1-1/LH195,1,7,165,8,27,,25,4,30,105,,,,47,3/1/14,8/21/14,5/25/14,5/26/14,85,86,183,91,81,,,11.9,58.6,19.46,150.3047066,,,,
2014,TXH1,2218795,WE13-80ISO-343-X-POL-80,PHN11_PHW65_0359/PB80,2,5,112,14,24,,25,4,30,105,,,,47,3/1/14,8/21/14,5/24/14,5/23/14,84,83,206,102,81,,,12,58.3,19.34,149.2082984,,,,
2014,TXH1,2218679,13SAJL:NURSE:0157,LH74/PHN82,2,3,59,13,34,,25,4,30,105,,,,47,3/1/14,8/21/14,5/22/14,5/23/14,82,83,180,76,81,,,12.9,53.2,18.72,142.9479183,,,,
2014,TXH1,2218768,WE13-80ISO-026-X-POL-80,LH212HT/PB80,2,2,30,12,12,,25,4,30,105,,,,47,3/1/14,8/21/14,5/22/14,5/22/14,82,82,203,89,81,,,11.9,57.6,17.99,138.9507539,,,,
2014,TXH1,2218459,WE13-80ISO-083-X-POL-80,Z022E0023/PB80,1,4,66,5,7,,25,4,30,105,,,,47,3/1/14,8/21/14,5/24/14,5/25/14,84,85,165,74,81,,,11.2,59.6,17.72,137.9527998,,,,
2014,TXH1,2218551,WE13-80ISO-058-X-POL-80,PHN11_OH43_0142/PB80,1,5,103,6,35,,25,4,30,105,,,,47,3/1/14,8/21/14,5/19/14,5/20/14,79,80,191,76,81,,,10.8,58.8,13.15,102.8358265,,,,
2014,IAH4,2186410,13WJWE:LH185:2667,Z013E0034/LH185,2,2,49,32,39,,20,3,30,85,,,,72,5/19/14,10/28/14,,,,,238,101,80,0,0,21.6,54.7,23.53,199.7846877,,,,
2014,TXH1,2218415,13SAJL:NURSE:0115,B73/PHM49,1,8,197,9,16,,25,4,30,105,,,,47,3/1/14,8/21/14,5/23/14,5/23/14,83,83,211,109,80,,,12.2,58.8,25.36,195.2079951,,,,
2014,TXH1,2218421,13SAJL:NURSE:0097,PHG39/PHM49,1,8,216,10,8,,25,4,30,105,,,,47,3/1/14,8/21/14,5/23/14,5/23/14,83,83,180,89,80,,,10.7,58.6,24.39,190.9488711,,,,
2014,IAH4,2168527,13SAJL:NURSE:0145,PHG39/PHN82,1,7,239,25,36,,20,3,30,85,,,,72,5/19/14,10/28/14,,,,,265,130,80,0,2,19.9,57,21.62,187.5479904,,,,
2014,TXH1,2218413,13SAJL:NURSE:0079,B37/H95,1,8,209,9,4,,25,4,30,105,,,,47,3/1/14,8/21/14,5/24/14,5/25/14,84,85,175,91,80,,,11.2,57.6,23.98,186.6878183,,,,
2014,IAH4,2186517,13WJWE:LH185:2475,PHN11_LH145_0062/LH185,2,6,219,49,40,,20,3,30,85,,,,72,5/19/14,10/28/14,,,,,228,92,80,0,0,15.8,57.2,19.51,177.9072186,,,,
2014,TXH1,2218750,WE13-80ISO-181-X-POL-80.2,Z013E0042/PB80,2,8,176,16,18,,25,4,30,105,,,,47,3/1/14,8/21/14,5/22/14,5/22/14,82,82,178,86,80,,,13,58.7,21.56,164.4454437,,,,
2014,TXH1,2218743,WE13-80ISO-406-X-POL-80,Z013E0026/PB80,2,8,179,16,21,,25,4,30,105,,,,47,3/1/14,8/21/14,5/26/14,5/25/14,86,85,198,102,80,,,12.2,60.7,21.28,163.8022924,,,,
2014,TXH1,2218797,WE13-80ISO-329-X-POL-80,PHN11_PHW65_0237/PB80,2,5,132,15,31,,25,4,30,105,,,,47,3/1/14,8/21/14,5/24/14,5/24/14,84,84,226,122,80,,,11.6,57.3,20.88,161.8216389,,,,
2014,TXH1,2218526,WE13-80ISO-341-X-POL-80,PHW65_MOG_0311/PB80,1,5,85,6,17,,25,4,30,105,,,,47,3/1/14,8/21/14,5/23/14,5/23/14,83,83,211,107,80,,,11.9,57.4,20.56,158.8008617,,,,
2014,TXH1,2218549,WE13-80ISO-352-X-POL-80,MOG_MO45-128-1-1-1-1-B/PB80,1,5,89,6,21,,25,4,30,105,,,,47,3/1/14,8/21/14,5/19/14,5/22/14,79,82,208,99,80,,,11,58.5,20.19,157.536126,,,,
2014,TXH1,2218527,WE13-80ISO-321-X-POL-80,MOG_MO45-030-1-1-1-1-B/PB80,1,5,95,6,27,,25,4,30,105,,,,47,3/1/14,8/21/14,5/20/14,5/22/14,80,82,193,102,80,,,12.7,60.2,19.54,149.5521424,,,,
2014,IAH1b,2186753,WE13-195ISO-108-X-POL-195,PHB47/LH195,1,2,25,5,19,,20,3,30,85,,,,72,5/17/14,10/20/14,7/26/14,7/26/14,70,70,217,96,80,0,0,24.8,54.6,18.24,148.5480256,,,,
2014,TXH1,2218533,WE13-80ISO-029-X-POL-80,PHW65_MOG_0176/PB80,1,5,104,6,36,,25,4,30,105,,,,47,3/1/14,8/21/14,5/21/14,5/23/14,81,83,196,94,80,,,10.2,55.3,17.89,140.8447013,,,,
2014,TXH1,2218808,WE13-80ISO-226-X-POL-80,MOG_NC230-028-1-1-1-1-B/PB80,2,5,128,15,35,,25,4,30,105,,,,47,3/1/14,8/21/14,5/23/14,5/23/14,83,83,191,94,80,,,11.5,56.6,18.04,139.9695737,,,,
2014,TXH1,2218882,WE13-195ISO-361-X-POL-195,B73_NC230-041-1-1-1-1/LH195,2,9,221,17,12,,25,4,30,105,,,,47,3/1/14,8/21/14,5/26/14,5/27/14,86,87,163,79,80,,,11.6,58.5,17.73,137.4088916,,,,
2014,TXH1,2218497,WE13-80ISO-120-X-POL-80,Z013E0074/PB80,1,9,237,10,29,,25,4,30,105,,,,47,3/1/14,8/21/14,5/26/14,5/26/14,86,86,183,89,80,,,12.7,60.5,15.3,117.1007052,,,,
2014,TXH1,2218752,WE13-80ISO-175-X-POL-80,Z013E0111/PB80,2,8,186,16,28,,25,4,30,105,,,,47,3/1/14,8/21/14,5/26/14,5/26/14,86,86,193,102,80,,,11.9,,12.72,98.24644748,,,,
2014,TXH1,2218664,GTF-01:03,LH82/CGR01,2,3,39,12,21,,25,4,30,105,,,,47,3/1/14,8/21/14,5/19/14,5/20/14,79,80,135,56,80,,,11.7,57.6,9.79,75.78743892,,,,
2014,IAH4,2186378,LOCAL_CHECK,MBS2747_MBS9508,2,5,162,43,43,Yes,20,3,30,85,,,,72,5/19/14,10/28/14,,,,,260,100,79,0,2,19.8,57.6,33.97,295.0489846,,,,
2014,TXH1,2218920,LOCAL_CHECK,DEKALB 64-69,2,9,215,17,18,Yes,25,4,30,105,,,,47,3/1/14,8/21/14,5/23/14,5/22/14,83,82,188,104,79,,,12,59.4,32.17,248.1918801,,,,
2014,IAH4,2186209,13WJWE:LH185:2010,B73_NC230-129-1-1-1-1/LH185,1,2,85,10,39,,20,3,30,85,,,,72,5/19/14,10/28/14,,,,,233,110,79,0,1,23.8,53.9,29.54,243.7752842,,,,
2014,IAH4,2168531,13SAJL:NURSE:0151,PHW52/PHN82,1,7,216,23,39,,20,3,30,85,,,,72,5/19/14,10/28/14,,,,,255,103,79,0,0,19.8,56.8,23.46,203.7635908,,,,
