Experiment_Code,Treatment,City,Farm,Field,Trial_ID (Assigned by collaborator for internal reference),"Soil_Taxonomic_ID and horizon description, if known","Weather_Station_Serial_Number (Last four digits, e.g.†m2700s#####)",Weather_Station_Latitude (in decimal numbers NOT DMS),Weather_Station_Longitude (in decimal numbers NOT DMS),Date_weather_station_placed,Date_weather_station_removed,In-field weather station serial number,In-field_weather_station_latitude (in decimal),In-field_weather_station_longitude (in decimal),Previous_Crop,Pre-plant_tillage_method(s),In-season_tillage_method(s),Plot_length (center-alley to center-alley in feet),Alley_length (in inches),Row_spacing (in inches),Type_of_planter (fluted cone; belt cone; air planter),Number_kernels_planted_per_plot (>200 seed/pack for cone planters),System_Determining_Moisture,Pounds_Needed_Soil_Moisture,Latitude_of_Field_Corner_#1 (lower left),Longitude_of_Field_Corner_#1 (lower left),Latitude_of_Field_Corner_#2 (lower right),Longitude_of_Field_Corner_#2 (lower right),Latitude_of_Field_Corner_#3 (upper right),Longitude_of_Field_Corner_#3 (upper right),Latitude_of_Field_Corner_#4 (upper left),Longitude_of_Field_Corner_#4 (upper left),Cardinal_Heading_Pass_1,Local_Check_#1_Pedigree,Local_Check_#1_Source,Local_Check_#2_Pedigree,Local_Check_#2_Source,Local_Check_#3_Pedigree,Local_Check_#3_Source,Local_Check_#4_Pedigree,Local_Check_#4_Source,Local_Check_#5_Pedigree,Local_Check_#5_Source,Issue/comment_#1,Issue/comment_#2,Issue/comment_#3,Issue/comment_#4,Issue/comment_#5,Issue/comment_#6,Issue/comment_#7,Issue/comment_#8,Issue/comment_#9,Issue/comment_#10
ILH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIH1,Standard,East Lansing,MSU,W90,,capac loam,9078,42.681924,-84.494308,5/22/17,10/18/17,,,,corn,chisel plow,,25,30,30,air planter,100,Harvest Master,5,42.681899,-84.494063,42.681934,-84.494618,42.680423,-84.494593,42.680407,-84.494091,180,Cropland 3899VT2PRIB,,Beck 5140HR,,M & W 45M43,,Great Lakes GLH5283,,DKC53-68 GENSSRIB,,,,,,,,,,,
MNH1,Standard,Waseca,SROC,,HGXE17,,8650,43.07471,-89.384397,5/15/17,10/18/17,,,,soybean,2 passes with a field cultivator,,25,36,30,fluted cone,80,Harvestmaster Grain Gage system mounted on the combine,5,43.07471,-89.384397,43.07471,-89.384397,43.07471,-89.384397,43.07471,-89.384397,,DKC 46-61 - RM96 (RR2),,DKC 53-78 RIB - RM103 (RR),,DKC 53-56 RIB - RM103 (Smartstax),,P9990XR - RM99 (RR2),,P9411XR - RM94 (RR2),,"Northwest portion of field was underwater for part of the early growing season, affecting phenotypic data.",Yeild in font of field much lower than the back of the field due to water pooling early in the season.,"Stand counts were taken after harvest and before tilling. Some plots were impossible to count, therefor no data are provided.",Combine does not measure accurate test weight and as such this trait was not collected,,,,,,
MOH1,Standard,Columbia,Bradford,H3A,G2F GxE,"5058 Mexico Silt Loam, 0-2% slopes",8645,38.89244,-92.20665,5/15/17,10/19/17,,,,soybean,"fall chisel plow, spring field cultivator",,20,36,30,air planter,70,seed spector,4,38.89238,-92.20483,38.89288,-92.20503,38.89289,-92.20658,38.89241,-92.20657,270,B47 x Phz51,15FG2059,B47 x Phz51,15FG2059,2369 x Phz51,15FG2038,2369 x Phz51,15FG2038,Trophy Hybrid,Trophy Hybrid,,,,,,,,,,
NCH1,Standard,Kinston,Cunningham,N- non irrigated,EXP 7,Pantego loam,8659,35.29607,-77.567255,5/3/17,9/22/17,,,,Small Grains and Double Crop Soybeans,"Two passes with disk, one pass with field conditioner, 30” beds were made with 8 row ripper-bedder for corn",,16,48,30,fluted cone,50,,,35.296066,-77.567222,35.297308,-77.566745,35.297251,-77.566404,35.295924,-77.566855,22,DKC66-40RIB,DKC66-40RIB,DKC66-29,DKC66-29,N585-3111,N585-3111,31G66,31G66,P1498YHR,P1498YHR,,,,,,,,,,
NEH1,Standard,Mead,,,,,,,,,,,,,corn,,,21,30,30,air planter,70,,,41.162,-96.409,41.162,-96.409,41.162,-96.409,41.162,-96.409,,Pioneer,,,,,,,,,,,,,,,,,,,
NEH2,Standard,Mead,,,,,,,,,,,,,corn,,,21,30,30,air planter,70,,,41.162,-96.409,41.162,-96.409,41.162,-96.409,41.162,-96.409,,Pioneer,,,,,,,,,,,,,,,,,,,
NEH3,Standard,Mead,,,,,,,,,,,,,corn,,,21,30,30,air planter,70,,,41.162,-96.409,41.162,-96.409,41.162,-96.409,41.162,-96.409,,Pioneer,,,,,,,,,,,,,,,,,,,
NEH4,Standard,Mead,,,,,,,,,,,,,corn,,,21,30,30,air planter,70,,,41.162,-96.409,41.162,-96.409,41.162,-96.409,41.162,-96.409,,Pioneer,,,,,,,,,,,,,,,,,,,
NYH1,Disease trial,Aurora,Musgrave,J,17JG,Alfisol,12368,42.72856941,-76.65201913,5/20/17,11/22/17,,,,Soybean,disk,disk,21,30,30,air planter,72,ALMACO Seed Spector 5,7,42.7286167,-76.6524,42.7286167,-76.65068333,42.7290167,-76.65071667,42.7289833,-76.65245,270,DKC52-62,Margaret Smith,EX5101,Margaret Smith,FS6296VT3,Margaret Smith,EX3101,Margaret Smith,EX4101,Margaret Smith,05-18-2017. Seed of plot # 140 (rep 2) for the NYH1 experiment is missing. Border seed was planted in its place to fill this gap in the field. Refer to the fieldbook for details of the missig seed.,07-05-2017. Some plants were accidentally knocked down by the tractor tires when the field was side-dressed. This happened because the plants were too tall. Plants were recounted to account for this plot damage.,08-26-2017. Some plots were damaged by mammals (raccoons). Plants were recounted and yield data discarded if mammal damage was significant.,"2017-12-08. We got new probes to measure soil temperature and soil moisture, but we didn't get any data from those measurements. We suspect there's an issue with the weather station. It would be helpful to check/fix it.",,,,,,
NYH2,Standard,Aurora,Musgrave,Y,A17NYH2,2w3kh & 2trwv,9087,42.7328868,-76.6520083,5/19/17,11/28/17,,,,Soybean,disc,disc,21,42,30,air planter,80,K2 Gleaner with a Harvest Master HM1000 GrainGage,5,42.732186,-76.653267,42.732208,-76.652265,42.732823,-76.652181,42.732708,-76.653288,180,DKC52-62,Margaret Smith,EX5101,Margaret Smith,FS6296VT3,Margaret Smith,EX3101,Margaret Smith,EX4101,Margaret Smith,Samples for RNA-Seq collected,,,,,,,,,
NYH3,Standard,Aurora,Musgrave,W,A17NYH3,LtA,9086,42.733042,-76.651994,6/1/17,11/28/17,,,,Wheat,disc,disc,21,42,30,air planter,80,K2 Gleaner with a Harvest Master HM1000 GrainGage,5,42.733064,-76.653178,42.733078,-76.652239,42.733716,-76.652233,42.733727,-76.653338,0,DKC52-62,Margaret Smith,EX5101,Margaret Smith,FS6296VT3,Margaret Smith,EX3101,Margaret Smith,EX4101,Margaret Smith,Some samples collected for ionomics,,,,,,,,,
OHH1,Standard,South Charleston,Western Ag Research Station,D1/D2,OHH1,,800,39.855359,-83.665356,4/18/17,10/20/17,,,,Soybean,Fall Diskchisel / Spring Culivator,,25,30,30,air planter,90,HarvestMaster - FRSGHM,6,39.85542,-83.664387,39.856075,-83.664298,39.85615,-83.665185,39.855495,-83.665225,270,Pioneer P0993HR,Pioneer,LG 5618STXRIB,LG Seeds,DKC 61-54RIB,Dekalb,SCS 1085YHR,Seed Consultants,DKC 60-67RIB,Dekalb,Heavy rains immediately after planting slowed emergence and reduced stands in some plots.,,,,,,,,,
ONH1,Standard,Waterloo,Rosendale,Hopewell Creek,,,,43.497179,-80.4276,,,,,,Wheat,"Fall soil chisel, spring cultivator",,22,30,30,air (Seedpro),76,Harvestmaster,6.6,43.496036,-80.426126,43.495887,-80.426532,43.494869,-80.425816,43.495048,-80.425401,150,DKC38-03 RIB,Dekalb,P9188AM,Pioneer,DKC42-60 RIB,Dekalb,P9675AMXT,Pioneer,P9855HR,Pioneer,,,,,,,,,,
ONH2,Standard,Ridgetown,Campus,Range 22,Genome 2017,,8652,43.07471,-89.384397,5/22/17,11/1/17,,,,Soybean,"Chisel plow,cultivate",,20,30,30,fluted cone,100,Harvest Master,5,42.452733,-81.883468,42.452401,-81.883032,42.453132,-81.882,42.453455,-81.882426,50,Maizex MZ4525 SMX,Maizex MZ4525 SMX,Maizex MZ4092 DBR,Maizex MZ4092 DBR,Pride A7270G8,Pride A7270G8,Pioneer P0216AM,Pioneer P0216AM,Pioneer P0157AM,Pioneer P0157AM,Discarded 24 plots for Raccoon Damage,,,,,,,,,
SCH1,Standard,Clemson,Simpson Farm,SF2,,,11997,34.62286,-82.737705,,,,,,Soybean,"Heavy disk, chisel plow, field cultivator",,25,72,30,belt cone,,"Heavy disk, Chisel plow, Field cultivator ",5,34.62261,-82.73796,34.62224,-82.7373,34.62289,-82.73677,34.62316,-82.73747,,P1662YHR,Pioneer DuPont,P1916YHR,Pioneer DuPont,DKC67-44,Dekalb,DKC70-27,Dekalb,DKC65-95,Dekalb,End of season hurricane created heavy lodging,,,,,,,,,
TXH1,Standard,College Station,University Field Lab,210,CS17-G2FE,,,30.54535,-96.432581,3/8/17,8/10/17,,,,,,,,,,,,,,43.07471,-89.384397,43.07471,-89.384397,43.07471,-89.384397,43.07471,-89.384397,,,,,,,,,,,,,,,,,,,,,
TXH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIH1,Standard,Madison,West Madison Agricultural Research Station,M1400 N,,,8648,43.057176,-89.531052,5/2/17,10/19/17,14820,43.055986,43.07471,Soybean,field cultivate,hand weed,18,30,30,fluted cone,80,,,43.057176,-89.531052,43.057129,-89.530495,43.056213,-89.530627,43.056207,-89.53108,,DKC 45-79,Dekalb,DKC 45-79,Dekalb,DKC 45-79,Dekalb,DKC 45-79,Dekalb,DKC 45-79,Dekalb,,,,,,,,,,
WIH2,Standard,Arlington,Arlington Agricultural Research Station,616,,,8647,43.324231,-89.33564,5/10/17,11/6/17,14821,43.324627,-89.336753,Soybean,field cultivate,hand weed,18,30,30,fluted cone,80,,,43.324531,-89.335756,43.324745,-89.335736,43.324784,-89.338019,43.324506,-89.33804,,DKC 45-79,Dekalb,DKC 45-79,Dekalb,DKC 45-79,Dekalb,DKC 45-79,Dekalb,DKC 45-79,Dekalb,,,,,,,,,,
