Experiment_Code,Treatment,City,Farm,Field,Trial_ID (Assigned by collaborator for internal reference),"Soil_Taxonomic_ID and horizon description, if known","Weather_Station_Serial_Number (Last four digits, e.g. m2700s#####)",Weather_Station_Latitude (in decimal numbers NOT DMS),Weather_Station_Longitude (in decimal numbers NOT DMS),Date_weather_station_placed,Date_weather_station_removed,In-field weather station serial number,In-field_weather_station_latitude (in decimal),In-field_weather_station_longitude (in decimal),Previous_Crop,Pre-plant_tillage_method(s),In-season_tillage_method(s),Plot_length (center-alley to center-alley in feet),Alley_length (in inches),Row_spacing (in inches),Type_of_planter (fluted cone; belt cone; air planter),Number_kernels_planted_per_plot (>200 seed/pack for cone planters),System_Determining_Moisture,Pounds_Needed_Soil_Moisture,Latitude_of_Field_Corner_#1 (lower left),Longitude_of_Field_Corner_#1 (lower left),Latitude_of_Field_Corner_#2 (lower right),Longitude_of_Field_Corner_#2 (lower right),Latitude_of_Field_Corner_#3 (upper right),Longitude_of_Field_Corner_#3 (upper right),Latitude_of_Field_Corner_#4 (upper left),Longitude_of_Field_Corner_#4 (upper left),Cardinal_Heading_Pass_1,Local_Check_#1_Pedigree,Local_Check_#1_Source,Local_Check_#2_Pedigree,Local_Check_#2_Source,Local_Check_#3_Pedigree,Local_Check_#3_Source,Local_Check_#4_Pedigree,Local_Check_#4_Source,Local_Check_#5_Pedigree,Local_Check_#5_Source,Issue/comment_#1,Issue/comment_#2,Issue/comment_#3,Issue/comment_#4,Issue/comment_#5,Issue/comment_#6,Issue/comment_#7,Issue/comment_#8,Issue/comment_#9,Issue/comment_#10
NCH1,Standard,Kinston,Cunningham Research Farm,L,7,"Lynchburg sandy loam, 0 to 2 percent slopes:            Ap - 0 to 8 inches: sandy loam E - 8 to 11 inches: sandy loam Bt - 11 to 21 inches: sandy clay loam Btg - 21 to 65 inches: sandy clay loam BCg - 65 to 85 inches: sandy clay loam                                                       AND                                                                          Rains sandy loam, 0 to 2 percent slopes: Ap - 0 to 8 inches: sandy loam
E - 8 to 11 inches: sandy loam
Bt - 11 to 21 inches: sandy clay loam
Btg - 21 to 65 inches: sandy clay loam
BCg - 65 to 85 inches: sandy clay loam",8659,35.299525,-77.569591,4/23/20,9/4/20,,,,wheat/soybean,Conventional tillage (disc) + ripped and bedded rows,none,16,48,30,fluted cone,50,Juniper,4.5,35.30019852,-77.57024056,35.30099095,-77.57129735,35.29998837,-77.57238632,35.29921782,-77.57134563,225,Pioneer 1498,Pioneer,,,,,,,,,"Was able to score flowering on one day (June 25, 2020). Anything that was going to flower more than two days after that was left as NA. So at least these data might be useful for QC to pick out early things.",Aneometer was replaced on 6/2/2020,,,,,,,,
NEH1,Standard,Lincoln,Havelock,10--18,NEH1,,3340,40.85194,-96.61667,6/8/20,11/29/20,,,,soybean/pumpkin,No-till,none,21,30,30,air planter,70,HarvestMaster,3,40.85194,-96.61667,,,,,40.85163,-96.61667,90,P1366AM,P1366AM,,,,,,,,,,,,,,,,,,
NEH2,Dry Land,North Platte,,,NEH2,,18037,,,,,,,,Soybean,,,21,30,30,air planter,70,,,,,,,,,,,,P1366AM,P1366AM,,,,,,,,,,,,,,,,,,
NEH3,Standard,North Platte,,,NEH3,,,,,,,,,,Soybean,,,21,30,30,air planter,76,,,,,,,,,,,,P1366AM,P1366AM,,,,,,,,,Irrigated,,,,,,,,,
NYH2,Standard,Aurora,Musgrave,XS,A20NYH2,"LtA, LtB, KIA",1086,42.732895,-76.649673,5/6/20,11/2/20,,,,Soybean,,CaseIH VT 360 vertical tillage tool gone over 2X on 5/30,21,42,30,air planter,80,"Harvest Master High Capacity GrainGage, HM800 Electronics, run with Mirus Software",5,42.731967,-76.649715,42.731936,-76.651002,42.732638,-76.650994,42.732662,-76.64974,181,,,,,,,,,,,"Shift(not tractor planted) heading south pass 18, columns 35 and 36, range 7 
All plots in column 35 and 36 in ranges 1  to 7 are likely shifted and not the genotype they are supposed to be",Replanted empty plot 267 by hand next day with PHB47/Mo17. Replanted empty plot 268 by hand next day with Tx714/PHZ51,,,,,,,,
NYH3,Standard,Aurora,Musgrave,XS,A20NYH3,"LtA, LtB,HnB ",1087,42.732557,-76.651734,5/6/20,11/2/20,,,,Soybean,,CaseIH VT 360 vertical tillage tool gone over 2X on 5/30,21,42,30,air planter,80,"Harvest Master High Capacity GrainGage, HM800 Electronics, run with Mirus Software",5,42.731936,-76.651002,42.73192,-76.651739,42.732605,-76.651747,42.732638,-76.650994,181,,,,,,,,,,,"Shift(not tractor planted) heading south pass 36, columns 71 and 72, ranges 7 and 4 
All plots in column 71 and 72 in ranges 1  to 7 are likely shifted and not the genotype they are supposed to be",Replanted empty plot 117 by hand next day with B73/PHZ51. Replanted empty plot 118 by hand next day with LH195/PHZ51. Replanted empty plot 283 by hand next day with PHJ40/PHAJ0. Replanted empty plot 284 by hand next day with LH195/Mo17,,,,,,,,
NYS1,Standard,Aurora,Musgrave,XS,A20NYS1,"LtA, HnB, LtB",1087,42.732557,-76.651734,5/6/20,11/2/20,,,,Soybean,,CaseIH VT 360 vertical tillage tool gone over 2X on 5/30,21,42,30,air planter,80,"Harvest Master High Capacity GrainGage, HM800 Electronics, run with Mirus Software",5,42.73192,-76.651739,42.731925,-76.651739,42.732605,-76.651747,42.732608,-76.651747,181,,,,,,,,,,,Plots 45-50 are hybrid filler,,,,,,,,,
OHH1,Standard,South Charleston,Western Ag Research Station,F3,OH-H1,,10800,39.856831,-83.673986,6/2/20,11/10/20,,,,Soybean,cultivator,none,22.5,30,30,air planter,110,HarvestMaster - FRSGHM,6,39.856658,-83.673847,39.85633,-83.67388,39.856211,-83.671928,39.85654,-83.671894,90,DKC 57-97,Dekalb,,,,,,,,,,,,,,,,,,
SCH1,Standard,Pendleton,Simpson Small Ruminant Research Center,,,,8655,34.621695,-82.736499,,,,,,Soybean,"conventional, heavy disc, chisel plow, field cultivator",Hand hoeing,25,60,30,4 row almaco GPS Drop precision vacuum planter,70,Almaco seed spector 12,6,34.621912,-82.737416,34.621727,-82.736504,34.622526,-82.736,34.622835,-82.736724,206,Commercial Hybrid,,Commercial Hybrid,,,,,,,,,,,,,,,,,
TXH1,Standard,College Station,,,,,8428,30.538575,-96.426775,,,,,,,Heavy Disk and then rows placed,Cultivator,21,48,30,belt cone,94,Harvestmaster,3,30.537182,-96.428085,30.537623,-96.427673,30.538428,-96.428648,30.53803,-96.42908,,,,,,,,,,,,,,,,,,,,,
TXH2,Dry Land,College Station,,,,,14790,30.538042,-96.429056,,,,,,,Heavy Disk and then rows placed,Cultivator,21,48,30,belt cone,86,Harvestmaster,3,30.537623,-96.427673,30.538091,-96.427156,30.538883,-96.428132,30.538428,-96.428648,,,,,,,,,,,,,,,,,,,,,
TXH3,Late Stressed,College Station,,,,,8428,30.538575,-96.426775,,,,,,,Heavy Disk and then rows placed,Cultivator,21,48,30,belt cone,94,Harvestmaster,3,30.538091,-96.427156,30.538504,-96.426711,30.539301,-96.427671,30.538883,-96.428132,,,,,,,,,,,,,,,,,,,,,
WIH1,Standard,Madison,West Madison Agricultural Research Station,M1500,,"PoA, TrB",8652,43.055767,-89.531381,5/8/20,10/22/20,,,,Soybean,field cultivator,,22,24,30,air planter,80,Harvest Master H2 Grain Gauge,5,43.0568242,-89.528261,43.056812,-89.52873,43.053298,-89.528345,43.053286,-89.528817,,,,,,,,,,,,Some plots on border were too close to filler corn,,,,,,,,,
WIH2,Standard,Arlington,Arlington Agricultural Research Station,F1 East,,"PnA, PnB",8648,43.10275,-89.13487,5/14/20,11/3/20,,,,Soybean,field cultivator,,22,24,30,air planter,80,Harvest Master H2 Grain Gauge,5,43.294275,-89.384175,43.294277,-89.383762,43.295295,-89.383762,43.295297,-89.384173,,,,,,,,,,,,considerable lodging in some part,,,,,,,,,
WIH3,Standard,Hancock,Hancock Agricultural Research Station,S21-S22,,Sandy,14288,44.115565,-89.547945,5/22/20,11/10/20,,,,,disk,none,22,24,30,air planter,80,Harvest Master H2 Grain Gauge,5,44.115206,-89.545233,44.115207,-89.544595,44.1162,-89.545237,44.116199,-89.544588,,,,,,,,,,,,Some plots damaged by irrigation wheel,,,,,,,,,
